Woo tang batch,woo@foo.edu
Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Publish,Hidden,File,Label,Offset,Skip Transcoding,Absolute Location
,,video recording identifier,174430,"World, The (General Series)",,,,,,1998-06-05,"6/5/1998
 3 PM AIRTIME",,,,,,,,,,general,,,,,,,,
,,video recording identifier,102444,"World, The (General Series)",,,News Report,,,1996-12-31,"Episode 1.
 Tony Kahn and Mary Ambrose host, Kimberly Dozier contributes. News focuses on events in the Middle East, South Africa's constitution, conflict in Bosnia, the sport of Freestyling. 
 
 Episode 2. 
 Tony Kahn and Eddie Mayor host. News focuses on conflict in Iraq, politics in Israel, and drive-in bingo in Ireland.",,,,,"News and Current Events, Global Affairs, Peoples of the Middle East, Peoples of Eastern Europe, Peoples of Southern Africa, Peoples of Western Europe",,,,,general,News Report,,,,,,,
,,video recording identifier,214900,"World, The (General Series)",,,,,,1997-11-03,"11/3/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214899,"World, The (General Series)",,,,,,1997-11-04,"11/4/1997
 AIR MASTER - 4 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214898,"World, The (General Series)",,,,,,1997-11-05,"11/5/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214889,"World, The (General Series)",,,,,,1997-11-20,"11/20/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214888,"World, The (General Series)",,,,,,1997-11-21,"11/21/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214887,"World, The (General Series)",,,,,,1997-11-24,"11/24/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214886,"World, The (General Series)",,,,,,1997-11-25,"11/25/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214884,"World, The (General Series)",,,,,,1997-11-27,"11/27/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214883,"World, The (General Series)",,,,,,1997-11-28,"11/28/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214882,"World, The (General Series)",,,,,,1997-12-01,"12/1/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214875,"World, The (General Series)",,,,,,1997-12-10,"12/10/1997
 AIR MASTER - 6 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214874,"World, The (General Series)",,,,,,1997-12-12,"12/12/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214873,"World, The (General Series)",,,,,,1997-12-15,"12/15/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214872,"World, The (General Series)",,,,,,1997-12-16,"12/16/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
,,video recording identifier,214871,"World, The (General Series)",,,,,,1997-12-17,"12/17/1997
 AIR MASTER - 3 P.M.",,,,,,,,,,general,,,,,,,,
